,Year,Indicator,Percent Pending Investigation,State Name,data
29,2015,Number of Drug Overdose Deaths,0.0,Alaska,121
172,2016,Number of Drug Overdose Deaths,0.068886338,Alaska,129
321,2017,Number of Drug Overdose Deaths,0.0,Alaska,141
459,2018,Number of Drug Overdose Deaths,0.0,Alaska,105
608,2019,Number of Drug Overdose Deaths,0.0,Alaska,133
747,2020,Number of Drug Overdose Deaths,0.0,Alaska,146
890,2021,Number of Drug Overdose Deaths,0.0,Alaska,255
1032,2022,Number of Drug Overdose Deaths,0.0,Alaska,247
1289,2015,Number of Drug Overdose Deaths,0.310595636,Alabama,720
1432,2016,Number of Drug Overdose Deaths,0.270265015,Alabama,740
1581,2017,Number of Drug Overdose Deaths,0.141472461,Alabama,807
1719,2018,Number of Drug Overdose Deaths,0.174497148,Alabama,740
1868,2019,Number of Drug Overdose Deaths,0.219883481,Alabama,739
2007,2020,Number of Drug Overdose Deaths,0.217796155,Alabama,989
2150,2021,Number of Drug Overdose Deaths,0.098034847,Alabama,1333
2292,2022,Number of Drug Overdose Deaths,0.237211052,Alabama,1452
2549,2015,Number of Drug Overdose Deaths,0.070999806,Arkansas,381
2692,2016,Number of Drug Overdose Deaths,0.0709037,Arkansas,386
2841,2017,Number of Drug Overdose Deaths,0.056562863,Arkansas,425
2979,2018,Number of Drug Overdose Deaths,0.065992081,Arkansas,433
3128,2019,Number of Drug Overdose Deaths,0.043318172,Arkansas,362
3267,2020,Number of Drug Overdose Deaths,0.002644104,Arkansas,514
3410,2021,Number of Drug Overdose Deaths,0.0,Arkansas,627
3552,2022,Number of Drug Overdose Deaths,0.007972362,Arkansas,591
3809,2015,Number of Drug Overdose Deaths,0.196889869,Arizona,1267
3952,2016,Number of Drug Overdose Deaths,0.618718867,Arizona,1393
4101,2017,Number of Drug Overdose Deaths,0.254962355,Arizona,1555
4239,2018,Number of Drug Overdose Deaths,0.122923588,Arizona,1730
4388,2019,Number of Drug Overdose Deaths,0.072028418,Arizona,1981
4527,2020,Number of Drug Overdose Deaths,0.101180438,Arizona,2644
4670,2021,Number of Drug Overdose Deaths,0.035156629,Arizona,2780
4812,2022,Number of Drug Overdose Deaths,0.042605315,Arizona,2737
5069,2015,Number of Drug Overdose Deaths,0.355918392,California,4762
5212,2016,Number of Drug Overdose Deaths,0.363983146,California,4755
5361,2017,Number of Drug Overdose Deaths,0.331505659,California,5028
5499,2018,Number of Drug Overdose Deaths,0.233257309,California,5494
5648,2019,Number of Drug Overdose Deaths,0.261706667,California,6363
5787,2020,Number of Drug Overdose Deaths,0.357507979,California,9209
5930,2021,Number of Drug Overdose Deaths,0.410797245,California,11398
6072,2022,Number of Drug Overdose Deaths,0.348228912,California,11761
6329,2015,Number of Drug Overdose Deaths,0.040548212,Colorado,913
6472,2016,Number of Drug Overdose Deaths,0.031453959,Colorado,965
6621,2017,Number of Drug Overdose Deaths,0.030960551,Colorado,1040
6759,2018,Number of Drug Overdose Deaths,0.033208164,Colorado,1004
6908,2019,Number of Drug Overdose Deaths,0.014960728,Colorado,1100
7047,2020,Number of Drug Overdose Deaths,0.018909549,Colorado,1512
7190,2021,Number of Drug Overdose Deaths,0.038667399,Colorado,1917
7332,2022,Number of Drug Overdose Deaths,0.018883364,Colorado,1856
7589,2015,Number of Drug Overdose Deaths,0.016339869,Connecticut,799
7732,2016,Number of Drug Overdose Deaths,0.026108808,Connecticut,974
7881,2017,Number of Drug Overdose Deaths,0.009511128,Connecticut,1080
8019,2018,Number of Drug Overdose Deaths,0.028617762,Connecticut,1070
8168,2019,Number of Drug Overdose Deaths,0.165993298,Connecticut,1231
8307,2020,Number of Drug Overdose Deaths,0.036738657,Connecticut,1385
8450,2021,Number of Drug Overdose Deaths,0.02589481,Connecticut,1562
8592,2022,Number of Drug Overdose Deaths,0.0,Connecticut,1476
8849,2015,Number of Drug Overdose Deaths,0.105152471,District of Columbia,144
8992,2016,Number of Drug Overdose Deaths,0.0,District of Columbia,300
9141,2017,Number of Drug Overdose Deaths,0.032061558,District of Columbia,348
9279,2018,Number of Drug Overdose Deaths,0.03236246,District of Columbia,295
9428,2019,Number of Drug Overdose Deaths,0.0,District of Columbia,367
9567,2020,Number of Drug Overdose Deaths,0.0,District of Columbia,511
9710,2021,Number of Drug Overdose Deaths,0.013978194,District of Columbia,541
9852,2022,Number of Drug Overdose Deaths,0.0,District of Columbia,575
10109,2015,Number of Drug Overdose Deaths,0.0,Delaware,195
10252,2016,Number of Drug Overdose Deaths,0.0,Delaware,285
10401,2017,Number of Drug Overdose Deaths,0.0,Delaware,341
10539,2018,Number of Drug Overdose Deaths,0.0,Delaware,399
10688,2019,Number of Drug Overdose Deaths,0.097171237,Delaware,423
10827,2020,Number of Drug Overdose Deaths,0.009099181,Delaware,449
10970,2021,Number of Drug Overdose Deaths,0.0,Delaware,502
11112,2022,Number of Drug Overdose Deaths,0.0,Delaware,544
11369,2015,Number of Drug Overdose Deaths,0.036541995,Florida,3352
11512,2016,Number of Drug Overdose Deaths,0.047008462,Florida,4996
11661,2017,Number of Drug Overdose Deaths,0.064024523,Florida,5440
11799,2018,Number of Drug Overdose Deaths,0.04997093,Florida,4936
11948,2019,Number of Drug Overdose Deaths,0.051492324,Florida,5524
12087,2020,Number of Drug Overdose Deaths,0.068283252,Florida,7568
12230,2021,Number of Drug Overdose Deaths,0.131784146,Florida,8163
12372,2022,Number of Drug Overdose Deaths,0.219709555,Florida,7894
12629,2015,Number of Drug Overdose Deaths,0.079462634,Georgia,1308
12772,2016,Number of Drug Overdose Deaths,0.084369612,Georgia,1370
12921,2017,Number of Drug Overdose Deaths,0.082457964,Georgia,1516
13059,2018,Number of Drug Overdose Deaths,0.089800107,Georgia,1375
13208,2019,Number of Drug Overdose Deaths,0.103277014,Georgia,1378
13347,2020,Number of Drug Overdose Deaths,0.084974073,Georgia,1868
13490,2021,Number of Drug Overdose Deaths,0.173752704,Georgia,2438
13632,2022,Number of Drug Overdose Deaths,0.201222891,Georgia,2619
13889,2015,Number of Drug Overdose Deaths,0.008922198,Hawaii,171
14032,2016,Number of Drug Overdose Deaths,0.326057422,Hawaii,199
14181,2017,Number of Drug Overdose Deaths,0.026068822,Hawaii,202
14319,2018,Number of Drug Overdose Deaths,0.09529585,Hawaii,212
14468,2019,Number of Drug Overdose Deaths,0.604667007,Hawaii,245
14607,2020,Number of Drug Overdose Deaths,0.0,Hawaii,276
14750,2021,Number of Drug Overdose Deaths,0.333850932,Hawaii,267
14892,2022,Number of Drug Overdose Deaths,0.555722439,Hawaii,283
15149,2015,Number of Drug Overdose Deaths,0.0,Iowa,300
15292,2016,Number of Drug Overdose Deaths,0.006821748,Iowa,314
15441,2017,Number of Drug Overdose Deaths,0.006613319,Iowa,341
15579,2018,Number of Drug Overdose Deaths,0.009937065,Iowa,277
15728,2019,Number of Drug Overdose Deaths,0.016303107,Iowa,350
15867,2020,Number of Drug Overdose Deaths,0.014022099,Iowa,419
16010,2021,Number of Drug Overdose Deaths,0.020588841,Iowa,471
16152,2022,Number of Drug Overdose Deaths,0.017757784,Iowa,473
16409,2015,Number of Drug Overdose Deaths,0.030800031,Idaho,214
16552,2016,Number of Drug Overdose Deaths,0.06768444,Idaho,228
16701,2017,Number of Drug Overdose Deaths,0.021570319,Idaho,234
16839,2018,Number of Drug Overdose Deaths,0.014116318,Idaho,243
16988,2019,Number of Drug Overdose Deaths,0.041846841,Idaho,264
17127,2020,Number of Drug Overdose Deaths,0.127520039,Idaho,280
17270,2021,Number of Drug Overdose Deaths,0.174263465,Idaho,345
17412,2022,Number of Drug Overdose Deaths,0.111221682,Idaho,362
17669,2015,Number of Drug Overdose Deaths,0.02404933,Illinois,1864
17812,2016,Number of Drug Overdose Deaths,0.02689954,Illinois,2427
17961,2017,Number of Drug Overdose Deaths,0.033760023,Illinois,2765
18099,2018,Number of Drug Overdose Deaths,0.072979042,Illinois,2732
18248,2019,Number of Drug Overdose Deaths,0.13041013,Illinois,2775
18387,2020,Number of Drug Overdose Deaths,0.153806716,Illinois,3531
18530,2021,Number of Drug Overdose Deaths,0.17112105,Illinois,3786
18672,2022,Number of Drug Overdose Deaths,0.128901574,Illinois,3863
18929,2015,Number of Drug Overdose Deaths,0.01738993,Indiana,1232
19072,2016,Number of Drug Overdose Deaths,0.006245023,Indiana,1506
19221,2017,Number of Drug Overdose Deaths,0.030278716,Indiana,1835
19359,2018,Number of Drug Overdose Deaths,0.007549905,Indiana,1612
19508,2019,Number of Drug Overdose Deaths,0.001503398,Indiana,1704
19647,2020,Number of Drug Overdose Deaths,0.055594163,Indiana,2267
19790,2021,Number of Drug Overdose Deaths,0.002520415,Indiana,2789
19932,2022,Number of Drug Overdose Deaths,0.006571079,Indiana,2666
20189,2015,Number of Drug Overdose Deaths,0.054131385,Kansas,323
20332,2016,Number of Drug Overdose Deaths,0.043155871,Kansas,313
20481,2017,Number of Drug Overdose Deaths,0.045892611,Kansas,323
20619,2018,Number of Drug Overdose Deaths,0.011324173,Kansas,341
20768,2019,Number of Drug Overdose Deaths,0.02245593,Kansas,380
20907,2020,Number of Drug Overdose Deaths,0.080321285,Kansas,473
21050,2021,Number of Drug Overdose Deaths,0.070867156,Kansas,682
21192,2022,Number of Drug Overdose Deaths,0.003264134,Kansas,755
21449,2015,Number of Drug Overdose Deaths,0.004329473,Kentucky,1248
21592,2016,Number of Drug Overdose Deaths,0.010502878,Kentucky,1437
21741,2017,Number of Drug Overdose Deaths,0.016661807,Kentucky,1566
21879,2018,Number of Drug Overdose Deaths,0.014480162,Kentucky,1336
22028,2019,Number of Drug Overdose Deaths,0.020482989,Kentucky,1369
22167,2020,Number of Drug Overdose Deaths,0.032310758,Kentucky,2104
22310,2021,Number of Drug Overdose Deaths,0.057967174,Kentucky,2397
22452,2022,Number of Drug Overdose Deaths,0.026231572,Kentucky,2309
22687,2015,Number of Drug Overdose Deaths,0.08425559,Louisiana,875
22723,2016,Number of Drug Overdose Deaths,0.009006778,Louisiana,1004
22759,2017,Number of Drug Overdose Deaths,0.002176136,Louisiana,1102
22794,2018,Number of Drug Overdose Deaths,0.002165111,Louisiana,1167
22832,2019,Number of Drug Overdose Deaths,0.004337924,Louisiana,1304
22866,2020,Number of Drug Overdose Deaths,0.001759696,Louisiana,1929
22902,2021,Number of Drug Overdose Deaths,0.005217482,Louisiana,2512
22938,2022,Number of Drug Overdose Deaths,0.022845394,Louisiana,2433
23024,2015,Number of Drug Overdose Deaths,0.813464713,Massachusetts,1723
23167,2016,Number of Drug Overdose Deaths,0.480461796,Massachusetts,2198
23316,2017,Number of Drug Overdose Deaths,0.602742478,Massachusetts,2138
23454,2018,Number of Drug Overdose Deaths,0.161564343,Massachusetts,2238
23603,2019,Number of Drug Overdose Deaths,0.255003607,Massachusetts,2215
23742,2020,Number of Drug Overdose Deaths,0.1334668,Massachusetts,2296
23885,2021,Number of Drug Overdose Deaths,0.136026768,Massachusetts,2555
24027,2022,Number of Drug Overdose Deaths,0.174389636,Massachusetts,2647
24284,2015,Number of Drug Overdose Deaths,0.021203511,Maryland,1320
24427,2016,Number of Drug Overdose Deaths,0.016437906,Maryland,2074
24576,2017,Number of Drug Overdose Deaths,0.036239179,Maryland,2284
24714,2018,Number of Drug Overdose Deaths,0.03580522,Maryland,2393
24863,2019,Number of Drug Overdose Deaths,0.039614943,Maryland,2360
25002,2020,Number of Drug Overdose Deaths,0.023472604,Maryland,2761
25145,2021,Number of Drug Overdose Deaths,0.127009534,Maryland,2724
25287,2022,Number of Drug Overdose Deaths,0.084532374,Maryland,2523
