,Year,Indicator,Percent Pending Investigation,State Name,data
35,2015,Percent with drugs specified,0.0,Alaska,89.25619835
179,2016,Percent with drugs specified,0.068886338,Alaska,99.2248062
323,2017,Percent with drugs specified,0.0,Alaska,97.16312057
464,2018,Percent with drugs specified,0.0,Alaska,100.0
602,2019,Percent with drugs specified,0.0,Alaska,96.2406015
749,2020,Percent with drugs specified,0.0,Alaska,94.52054795
897,2021,Percent with drugs specified,0.0,Alaska,99.60784314
1043,2022,Percent with drugs specified,0.0,Alaska,99.1902834
1295,2015,Percent with drugs specified,0.310595636,Alabama,49.58333333
1439,2016,Percent with drugs specified,0.270265015,Alabama,57.2972973
1583,2017,Percent with drugs specified,0.141472461,Alabama,69.02106568
1724,2018,Percent with drugs specified,0.174497148,Alabama,74.86486486
1862,2019,Percent with drugs specified,0.219883481,Alabama,80.92016238
2009,2020,Percent with drugs specified,0.217796155,Alabama,84.63094034
2157,2021,Percent with drugs specified,0.098034847,Alabama,88.97224306
2303,2022,Percent with drugs specified,0.237211052,Alabama,93.31955923
2555,2015,Percent with drugs specified,0.070999806,Arkansas,77.69028871
2699,2016,Percent with drugs specified,0.0709037,Arkansas,70.20725389
2843,2017,Percent with drugs specified,0.056562863,Arkansas,72.94117647
2984,2018,Percent with drugs specified,0.065992081,Arkansas,81.29330254
3122,2019,Percent with drugs specified,0.043318172,Arkansas,88.95027624
3269,2020,Percent with drugs specified,0.002644104,Arkansas,86.77042802
3417,2021,Percent with drugs specified,0.0,Arkansas,89.95215311
3563,2022,Percent with drugs specified,0.007972362,Arkansas,93.06260575
3815,2015,Percent with drugs specified,0.196889869,Arizona,80.34727703
3959,2016,Percent with drugs specified,0.618718867,Arizona,85.5707107
4103,2017,Percent with drugs specified,0.254962355,Arizona,92.9903537
4244,2018,Percent with drugs specified,0.122923588,Arizona,95.0867052
4382,2019,Percent with drugs specified,0.072028418,Arizona,95.55779909
4529,2020,Percent with drugs specified,0.101180438,Arizona,97.04992436
4677,2021,Percent with drugs specified,0.035156629,Arizona,97.8057554
4823,2022,Percent with drugs specified,0.042605315,Arizona,98.79430033
5075,2015,Percent with drugs specified,0.355918392,California,79.23141537
5219,2016,Percent with drugs specified,0.363983146,California,80.10515247
5363,2017,Percent with drugs specified,0.331505659,California,85.46141607
5504,2018,Percent with drugs specified,0.233257309,California,88.33272661
5642,2019,Percent with drugs specified,0.261706667,California,92.26779821
5789,2020,Percent with drugs specified,0.357507979,California,94.66825931
