,Year,Geography,GeographyType,Indicator,Value,ValueType
0,2017,Anderson,County,Drug Overdose Deaths Involving All Stimulants,20.0,Count
1,2017,Anderson,County,Drug Overdose Deaths Involving Benzodiazepines,11.0,Count
2,2017,Anderson,County,Drug Overdose Deaths Involving Cocaine,7.0,Count
3,2017,Anderson,County,Drug Overdose Deaths Involving Fentanyl,11.0,Count
4,2017,Anderson,County,Drug Overdose Deaths Involving Heroin,7.0,Count
5,2017,Anderson,County,Drug Overdose Deaths Involving Prescription Opioids,22.0,Count
6,2017,Anderson,County,Drug Overdose Deaths Involving All Opioids,34.0,Count
7,2017,Anderson,County,Drug Overdose Deaths Involving Opioids and Any Stimulant,11.0,Count
8,2017,Anderson,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,9.0,Count
9,2017,Anderson,County,All Drug Overdose Deaths,47.0,Count
10,2017,Anderson,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine),16.0,Count
22,2017,Bedford,County,Drug Overdose Deaths Involving All Stimulants,0.0,Count
23,2017,Bedford,County,Drug Overdose Deaths Involving Benzodiazepines,3.0,Count
24,2017,Bedford,County,Drug Overdose Deaths Involving Cocaine,0.0,Count
25,2017,Bedford,County,Drug Overdose Deaths Involving Fentanyl,0.0,Count
26,2017,Bedford,County,Drug Overdose Deaths Involving Heroin,0.0,Count
27,2017,Bedford,County,Drug Overdose Deaths Involving Prescription Opioids,3.0,Count
28,2017,Bedford,County,Drug Overdose Deaths Involving All Opioids,3.0,Count
29,2017,Bedford,County,Drug Overdose Deaths Involving Opioids and Any Stimulant,0.0,Count
30,2017,Bedford,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,3.0,Count
31,2017,Bedford,County,All Drug Overdose Deaths,5.0,Count
32,2017,Bedford,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine),0.0,Count
44,2017,Benton,County,Drug Overdose Deaths Involving All Stimulants,1.0,Count
45,2017,Benton,County,Drug Overdose Deaths Involving Benzodiazepines,2.0,Count
46,2017,Benton,County,Drug Overdose Deaths Involving Cocaine,0.0,Count
47,2017,Benton,County,Drug Overdose Deaths Involving Fentanyl,1.0,Count
48,2017,Benton,County,Drug Overdose Deaths Involving Heroin,1.0,Count
49,2017,Benton,County,Drug Overdose Deaths Involving Prescription Opioids,4.0,Count
50,2017,Benton,County,Drug Overdose Deaths Involving All Opioids,5.0,Count
51,2017,Benton,County,Drug Overdose Deaths Involving Opioids and Any Stimulant,1.0,Count
52,2017,Benton,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,1.0,Count
53,2017,Benton,County,All Drug Overdose Deaths,6.0,Count
54,2017,Benton,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine),1.0,Count
66,2017,Bledsoe,County,Drug Overdose Deaths Involving All Stimulants,2.0,Count
67,2017,Bledsoe,County,Drug Overdose Deaths Involving Benzodiazepines,1.0,Count
68,2017,Bledsoe,County,Drug Overdose Deaths Involving Cocaine,0.0,Count
69,2017,Bledsoe,County,Drug Overdose Deaths Involving Fentanyl,1.0,Count
70,2017,Bledsoe,County,Drug Overdose Deaths Involving Heroin,0.0,Count
71,2017,Bledsoe,County,Drug Overdose Deaths Involving Prescription Opioids,2.0,Count
72,2017,Bledsoe,County,Drug Overdose Deaths Involving All Opioids,2.0,Count
73,2017,Bledsoe,County,Drug Overdose Deaths Involving Opioids and Any Stimulant,1.0,Count
74,2017,Bledsoe,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,1.0,Count
75,2017,Bledsoe,County,All Drug Overdose Deaths,3.0,Count
76,2017,Bledsoe,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine),2.0,Count
88,2017,Blount,County,Drug Overdose Deaths Involving All Stimulants,15.0,Count
89,2017,Blount,County,Drug Overdose Deaths Involving Benzodiazepines,5.0,Count
90,2017,Blount,County,Drug Overdose Deaths Involving Cocaine,6.0,Count
91,2017,Blount,County,Drug Overdose Deaths Involving Fentanyl,14.0,Count
92,2017,Blount,County,Drug Overdose Deaths Involving Heroin,5.0,Count
93,2017,Blount,County,Drug Overdose Deaths Involving Prescription Opioids,14.0,Count
94,2017,Blount,County,Drug Overdose Deaths Involving All Opioids,29.0,Count
95,2017,Blount,County,Drug Overdose Deaths Involving Opioids and Any Stimulant,8.0,Count
96,2017,Blount,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,4.0,Count
97,2017,Blount,County,All Drug Overdose Deaths,54.0,Count
98,2017,Blount,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine),11.0,Count
110,2017,Bradley,County,Drug Overdose Deaths Involving All Stimulants,6.0,Count
111,2017,Bradley,County,Drug Overdose Deaths Involving Benzodiazepines,7.0,Count
112,2017,Bradley,County,Drug Overdose Deaths Involving Cocaine,1.0,Count
113,2017,Bradley,County,Drug Overdose Deaths Involving Fentanyl,4.0,Count
114,2017,Bradley,County,Drug Overdose Deaths Involving Heroin,1.0,Count
115,2017,Bradley,County,Drug Overdose Deaths Involving Prescription Opioids,9.0,Count
116,2017,Bradley,County,Drug Overdose Deaths Involving All Opioids,14.0,Count
117,2017,Bradley,County,Drug Overdose Deaths Involving Opioids and Any Stimulant,1.0,Count
118,2017,Bradley,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,6.0,Count
119,2017,Bradley,County,All Drug Overdose Deaths,30.0,Count
