,Year,Geography,GeographyType,Indicator,Value,ValueType,Demographics,DemographicsType
0,2017,Anderson,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),11.0,Count,,
1,2017,Anderson,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),10.0,Count,,
2,2017,Anderson,County,Inpatient Stays Involving Cocaine Overdose,4.0,Count,,
3,2017,Anderson,County,Outpatient Visits Involving Cocaine Overdose,1.0,Count,,
4,2017,Anderson,County,Inpatient Stays Involving Heroin Overdose,5.0,Count,,
5,2017,Anderson,County,Outpatient Visits Involving Heroin Overdose,48.0,Count,,
6,2017,Anderson,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,45.0,Count,,
7,2017,Anderson,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,30.0,Count,,
8,2017,Anderson,County,Inpatient Stays Involving All Drug Overdose,118.0,Count,,
9,2017,Anderson,County,Outpatient Visits Involving All Drug Overdose,219.0,Count,,
10,2017,Anderson,County,Inpatient Stays Involving All Stimulant Overdose,15.0,Count,,
11,2017,Anderson,County,Outpatient Visits Involving All Stimulant Overdose,11.0,Count,,
24,2017,Bedford,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),1.0,Count,,
25,2017,Bedford,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),8.0,Count,,
26,2017,Bedford,County,Inpatient Stays Involving Cocaine Overdose,0.0,Count,,
27,2017,Bedford,County,Outpatient Visits Involving Cocaine Overdose,1.0,Count,,
28,2017,Bedford,County,Inpatient Stays Involving Heroin Overdose,2.0,Count,,
29,2017,Bedford,County,Outpatient Visits Involving Heroin Overdose,9.0,Count,,
30,2017,Bedford,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,11.0,Count,,
31,2017,Bedford,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,18.0,Count,,
32,2017,Bedford,County,Inpatient Stays Involving All Drug Overdose,43.0,Count,,
33,2017,Bedford,County,Outpatient Visits Involving All Drug Overdose,100.0,Count,,
34,2017,Bedford,County,Inpatient Stays Involving All Stimulant Overdose,1.0,Count,,
35,2017,Bedford,County,Outpatient Visits Involving All Stimulant Overdose,10.0,Count,,
48,2017,Benton,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),4.0,Count,,
49,2017,Benton,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),4.0,Count,,
50,2017,Benton,County,Inpatient Stays Involving Cocaine Overdose,2.0,Count,,
51,2017,Benton,County,Outpatient Visits Involving Cocaine Overdose,0.0,Count,,
52,2017,Benton,County,Inpatient Stays Involving Heroin Overdose,0.0,Count,,
53,2017,Benton,County,Outpatient Visits Involving Heroin Overdose,0.0,Count,,
54,2017,Benton,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,10.0,Count,,
55,2017,Benton,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,7.0,Count,,
56,2017,Benton,County,Inpatient Stays Involving All Drug Overdose,32.0,Count,,
57,2017,Benton,County,Outpatient Visits Involving All Drug Overdose,54.0,Count,,
58,2017,Benton,County,Inpatient Stays Involving All Stimulant Overdose,6.0,Count,,
59,2017,Benton,County,Outpatient Visits Involving All Stimulant Overdose,4.0,Count,,
72,2017,Bledsoe,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),1.0,Count,,
73,2017,Bledsoe,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),2.0,Count,,
74,2017,Bledsoe,County,Inpatient Stays Involving Cocaine Overdose,0.0,Count,,
75,2017,Bledsoe,County,Outpatient Visits Involving Cocaine Overdose,0.0,Count,,
76,2017,Bledsoe,County,Inpatient Stays Involving Heroin Overdose,0.0,Count,,
77,2017,Bledsoe,County,Outpatient Visits Involving Heroin Overdose,2.0,Count,,
78,2017,Bledsoe,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,5.0,Count,,
79,2017,Bledsoe,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,6.0,Count,,
80,2017,Bledsoe,County,Inpatient Stays Involving All Drug Overdose,19.0,Count,,
81,2017,Bledsoe,County,Outpatient Visits Involving All Drug Overdose,28.0,Count,,
82,2017,Bledsoe,County,Inpatient Stays Involving All Stimulant Overdose,1.0,Count,,
83,2017,Bledsoe,County,Outpatient Visits Involving All Stimulant Overdose,2.0,Count,,
96,2017,Blount,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),6.0,Count,,
97,2017,Blount,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),10.0,Count,,
98,2017,Blount,County,Inpatient Stays Involving Cocaine Overdose,6.0,Count,,
99,2017,Blount,County,Outpatient Visits Involving Cocaine Overdose,0.0,Count,,
100,2017,Blount,County,Inpatient Stays Involving Heroin Overdose,20.0,Count,,
101,2017,Blount,County,Outpatient Visits Involving Heroin Overdose,97.0,Count,,
102,2017,Blount,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,57.0,Count,,
103,2017,Blount,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,49.0,Count,,
104,2017,Blount,County,Inpatient Stays Involving All Drug Overdose,171.0,Count,,
105,2017,Blount,County,Outpatient Visits Involving All Drug Overdose,317.0,Count,,
106,2017,Blount,County,Inpatient Stays Involving All Stimulant Overdose,14.0,Count,,
107,2017,Blount,County,Outpatient Visits Involving All Stimulant Overdose,10.0,Count,,
