,Year,Geography,GeographyType,Indicator,Value,ValueType
0,2018,Anderson,County,All Benzodiazepines,43485,Count
1,2018,Anderson,County,Alprazolam,15416,Count
2,2018,Anderson,County,Clonazepam,10367,Count
3,2018,Anderson,County,Diazepam,4759,Count
4,2018,Anderson,County,Lorazepam,9099,Count
5,2018,Anderson,County,All Opioids for Pain,87664,Count
6,2018,Anderson,County,Hydrocodone,31930,Count
7,2018,Anderson,County,Oxycodone,32663,Count
8,2018,Anderson,County,Tramadol,11415,Count
27,2018,Bedford,County,All Benzodiazepines,23229,Count
28,2018,Bedford,County,Alprazolam,11868,Count
29,2018,Bedford,County,Clonazepam,3725,Count
30,2018,Bedford,County,Diazepam,3113,Count
31,2018,Bedford,County,Lorazepam,2873,Count
32,2018,Bedford,County,All Opioids for Pain,47920,Count
33,2018,Bedford,County,Hydrocodone,21536,Count
34,2018,Bedford,County,Oxycodone,14992,Count
35,2018,Bedford,County,Tramadol,6160,Count
54,2018,Benton,County,All Benzodiazepines,12299,Count
55,2018,Benton,County,Alprazolam,6731,Count
56,2018,Benton,County,Clonazepam,1643,Count
57,2018,Benton,County,Diazepam,1610,Count
58,2018,Benton,County,Lorazepam,1333,Count
59,2018,Benton,County,All Opioids for Pain,24925,Count
60,2018,Benton,County,Hydrocodone,12545,Count
61,2018,Benton,County,Oxycodone,6187,Count
62,2018,Benton,County,Tramadol,2732,Count
81,2018,Bledsoe,County,All Benzodiazepines,8005,Count
82,2018,Bledsoe,County,Alprazolam,3702,Count
83,2018,Bledsoe,County,Clonazepam,1320,Count
84,2018,Bledsoe,County,Diazepam,1368,Count
85,2018,Bledsoe,County,Lorazepam,1113,Count
86,2018,Bledsoe,County,All Opioids for Pain,18079,Count
87,2018,Bledsoe,County,Hydrocodone,7981,Count
88,2018,Bledsoe,County,Oxycodone,5445,Count
89,2018,Bledsoe,County,Tramadol,2108,Count
108,2018,Blount,County,All Benzodiazepines,62286,Count
109,2018,Blount,County,Alprazolam,21831,Count
110,2018,Blount,County,Clonazepam,15591,Count
111,2018,Blount,County,Diazepam,7642,Count
112,2018,Blount,County,Lorazepam,11316,Count
113,2018,Blount,County,All Opioids for Pain,115503,Count
114,2018,Blount,County,Hydrocodone,44905,Count
115,2018,Blount,County,Oxycodone,35351,Count
116,2018,Blount,County,Tramadol,19663,Count
135,2018,Bradley,County,All Benzodiazepines,60275,Count
136,2018,Bradley,County,Alprazolam,31158,Count
137,2018,Bradley,County,Clonazepam,9957,Count
138,2018,Bradley,County,Diazepam,5262,Count
139,2018,Bradley,County,Lorazepam,10061,Count
140,2018,Bradley,County,All Opioids for Pain,100670,Count
141,2018,Bradley,County,Hydrocodone,45971,Count
142,2018,Bradley,County,Oxycodone,29145,Count
143,2018,Bradley,County,Tramadol,15559,Count
162,2018,Campbell,County,All Benzodiazepines,29133,Count
163,2018,Campbell,County,Alprazolam,10521,Count
164,2018,Campbell,County,Clonazepam,8069,Count
165,2018,Campbell,County,Diazepam,2455,Count
166,2018,Campbell,County,Lorazepam,6706,Count
167,2018,Campbell,County,All Opioids for Pain,61201,Count
168,2018,Campbell,County,Hydrocodone,18755,Count
169,2018,Campbell,County,Oxycodone,26249,Count
170,2018,Campbell,County,Tramadol,5396,Count
189,2018,Cannon,County,All Benzodiazepines,9462,Count
190,2018,Cannon,County,Alprazolam,4427,Count
191,2018,Cannon,County,Clonazepam,1770,Count
192,2018,Cannon,County,Diazepam,1201,Count
193,2018,Cannon,County,Lorazepam,1423,Count
194,2018,Cannon,County,All Opioids for Pain,18924,Count
195,2018,Cannon,County,Hydrocodone,7915,Count
196,2018,Cannon,County,Oxycodone,6439,Count
197,2018,Cannon,County,Tramadol,1844,Count
216,2018,Carroll,County,All Benzodiazepines,21511,Count
217,2018,Carroll,County,Alprazolam,10653,Count
218,2018,Carroll,County,Clonazepam,3853,Count
219,2018,Carroll,County,Diazepam,2333,Count
220,2018,Carroll,County,Lorazepam,3476,Count
221,2018,Carroll,County,All Opioids for Pain,40189,Count
222,2018,Carroll,County,Hydrocodone,22493,Count
223,2018,Carroll,County,Oxycodone,8635,Count
224,2018,Carroll,County,Tramadol,4788,Count
243,2018,Carter,County,All Benzodiazepines,48793,Count
244,2018,Carter,County,Alprazolam,17275,Count
245,2018,Carter,County,Clonazepam,17523,Count
246,2018,Carter,County,Diazepam,5331,Count
247,2018,Carter,County,Lorazepam,6970,Count
248,2018,Carter,County,All Opioids for Pain,66935,Count
249,2018,Carter,County,Hydrocodone,28298,Count
250,2018,Carter,County,Oxycodone,19189,Count
